,Year,Origin,Histogram
0,1969,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
1,1969,,
2,1969,,
3,1969,,
4,1969,,
5,1970,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
6,1970,,
7,1970,,
8,1970,,
9,1970,,
10,1971,Cuba,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
11,1971,Various/Unknown,||||||||||||||||||||
12,1971,,
13,1971,,
14,1971,,
15,1972,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
16,1972,Cuba,||||||||||||||||||||
17,1972,,
18,1972,,
19,1972,,
20,1973,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
21,1973,,
22,1973,,
23,1973,,
24,1973,,
25,1974,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
26,1974,,
27,1974,,
28,1974,,
29,1974,,
30,1975,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
31,1975,,
32,1975,,
33,1975,,
34,1975,,
35,1976,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
36,1976,,
37,1976,,
38,1976,,
39,1976,,
40,1977,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
41,1977,,
42,1977,,
43,1977,,
44,1977,,
45,1978,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
46,1978,,
47,1978,,
48,1978,,
49,1978,,
50,1979,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51,1979,,
52,1979,,
53,1979,,
54,1979,,
55,1980,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
56,1980,,
57,1980,,
58,1980,,
59,1980,,
60,1981,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
61,1981,,
62,1981,,
63,1981,,
64,1981,,
65,1982,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
66,1982,,
67,1982,,
68,1982,,
69,1982,,
70,1983,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
71,1983,,
72,1983,,
73,1983,,
74,1983,,
75,1984,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
76,1984,Uruguay,||||||||||||||||||||||||
77,1984,Viet Nam,||||||||||||||
78,1984,,
79,1984,,
80,1985,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
81,1985,Viet Nam,|||||||||
82,1985,,
83,1985,,
84,1985,,
85,1986,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
86,1986,Viet Nam,|||||||||
87,1986,Chile,|||||||
88,1986,,
89,1986,,
90,1987,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
91,1987,,
92,1987,,
93,1987,,
94,1987,,
95,1988,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
96,1988,,
97,1988,,
98,1988,,
99,1988,,
100,1989,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
101,1989,,
102,1989,,
103,1989,,
104,1989,,
105,1990,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
106,1990,,
107,1990,,
108,1990,,
109,1990,,
110,1991,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
111,1991,,
112,1991,,
113,1991,,
114,1991,,
115,1992,Various/Unknown,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
116,1992,,
117,1992,,
118,1992,,
